CustomerID,Lookalikes
C0100,"[('C0179', 0.924963073238171), ('C0059', 0.897957016511691), ('C0104', 0.8961634747651106)]"
C0101,"[('C0155', 0.9500787173103818), ('C0156', 0.9224961299328688), ('C0102', 0.8937720607877832)]"
C0102,"[('C0188', 0.988395264445863), ('C0028', 0.9462408690392974), ('C0101', 0.8937720607877832)]"
C0103,"[('C0164', 0.8411073861260061), ('C0025', 0.8049128885715122), ('C0189', 0.7633922766256557)]"
C0104,"[('C0065', 0.9803191743075605), ('C0059', 0.9315171232959157), ('C0113', 0.9063085881780923)]"
C0105,"[('C0013', 0.9384637175104779), ('C0084', 0.8580255284313768), ('C0183', 0.857406411794594)]"
C0106,"[('C0133', 0.8648043785950683), ('C0195', 0.8501597269837712), ('C0002', 0.8463651357543862)]"
C0107,"[('C0183', 0.9969182601541454), ('C0016', 0.9193796132987654), ('C0072', 0.8492784208328265)]"
C0108,"[('C0145', 0.8451331776560927), ('C0124', 0.8191456507866441), ('C0024', 0.8138385556531814)]"
C0109,"[('C0093', 0.8991732504263087), ('C0145', 0.8971607813643081), ('C0175', 0.8873284660851548)]"
C0110,"[('C0151', 0.9960750294559665), ('C0144', 0.9681074954887843), ('C0089', 0.930250884733232)]"
C0111,"[('C0176', 0.8406924118314669), ('C0010', 0.8029182302613016), ('C0134', 0.7627261338320638)]"
C0112,"[('C0186', 0.9600837504147807), ('C0050', 0.9578875042211571), ('C0115', 0.952211630833747)]"
C0113,"[('C0065', 0.9248993191853524), ('C0004', 0.9151025343037085), ('C0104', 0.9063085881780923)]"
C0114,"[('C0148', 0.8724501210862275), ('C0096', 0.8435580998596173), ('C0018', 0.8374571396182579)]"
C0115,"[('C0050', 0.9998165331997684), ('C0112', 0.952211630833747), ('C0186', 0.8959772443509924)]"
C0116,"[('C0172', 0.9041972361277834), ('C0047', 0.8747329981751666), ('C0081', 0.8246379134456695)]"
C0117,"[('C0040', 0.8236350065856308), ('C0185', 0.8046243857558427), ('C0144', 0.7965586139198586)]"
C0118,"[('C0161', 0.8176777535128946), ('C0194', 0.784314848348085), ('C0184', 0.7831101298458449)]"
C0119,"[('C0157', 0.9199923330086777), ('C0146', 0.8189363553478805), ('C0164', 0.7959076190619573)]"
C0120,"[('C0197', 0.8915722770676232), ('C0007', 0.8843384283773534), ('C0050', 0.8833554755575228)]"
C0121,"[('C0177', 0.917403561656758), ('C0071', 0.8488829225038824), ('C0131', 0.8120260261620313)]"
C0122,"[('C0090', 0.9451306345813215), ('C0017', 0.9104085562559076), ('C0173', 0.8994291940554321)]"
C0123,"[('C0015', 0.9989752019177153), ('C0014', 0.9546919665811313), ('C0078', 0.9536014304003307)]"
C0124,"[('C0108', 0.8191456507866441), ('C0046', 0.7999756903352412), ('C0104', 0.7976992414039278)]"
C0125,"[('C0191', 0.8719234970340474), ('C0050', 0.8435294512630245), ('C0115', 0.8423567392150509)]"
C0126,"[('C0011', 0.9123857236192873), ('C0171', 0.8391628070927544), ('C0153', 0.8336973407696691)]"
C0127,"[('C0154', 0.8591331452789843), ('C0157', 0.8477420480050645), ('C0069', 0.8461247167590424)]"
C0128,"[('C0097', 0.9566497400626041), ('C0014', 0.9182006734822493), ('C0060', 0.9160901786727477)]"
C0129,"[('C0144', 0.8875081435397985), ('C0110', 0.8865342470489358), ('C0151', 0.8853675730897219)]"
C0130,"[('C0014', 0.9253653272516382), ('C0060', 0.9250455005250049), ('C0033', 0.9249672987274045)]"
C0131,"[('C0071', 0.9925335858681938), ('C0063', 0.9219192765893315), ('C0123', 0.8838630703465492)]"
C0132,"[('C0063', 0.9301629686954479), ('C0142', 0.8414914822158106), ('C0036', 0.8251863568145414)]"
C0133,"[('C0002', 0.9455138183180272), ('C0134', 0.8948294137300828), ('C0106', 0.8648043785950683)]"
C0134,"[('C0133', 0.8948294137300828), ('C0106', 0.8337454857627992), ('C0030', 0.8016740530814576)]"
C0135,"[('C0142', 0.8290743193826065), ('C0131', 0.8184215452082043), ('C0132', 0.8008144348010172)]"
C0136,"[('C0037', 0.9219813126510094), ('C0160', 0.8901021564982569), ('C0012', 0.868306322050648)]"
C0137,"[('C0174', 0.8166266507565432), ('C0047', 0.80423786072153), ('C0139', 0.8037629590822686)]"
C0138,"[('C0170', 0.9324867044440218), ('C0079', 0.9286765997446795), ('C0196', 0.9080888859886973)]"
C0139,"[('C0147', 0.9143138553572276), ('C0081', 0.8525658233463582), ('C0047', 0.8063025352580383)]"
C0140,"[('C0095', 0.9921516181672759), ('C0130', 0.9066756573366055), ('C0080', 0.9056988076580273)]"
C0141,"[('C0173', 0.9186172240801714), ('C0046', 0.9097022155284088), ('C0175', 0.881724316518214)]"
C0142,"[('C0193', 0.9156825833982679), ('C0132', 0.8414914822158106), ('C0135', 0.8290743193826065)]"
C0143,"[('C0053', 0.9518736304008916), ('C0145', 0.9069318437948934), ('C0141', 0.84056499165884)]"
C0144,"[('C0110', 0.9681074954887843), ('C0151', 0.963817071193274), ('C0129', 0.8875081435397985)]"
C0145,"[('C0022', 0.9384360928644568), ('C0093', 0.9282408759035762), ('C0143', 0.9069318437948934)]"
C0146,"[('C0035', 0.8561861207340151), ('C0157', 0.8299570758189379), ('C0005', 0.8242153566942588)]"
C0147,"[('C0139', 0.9143138553572276), ('C0161', 0.9093036214354371), ('C0024', 0.8949474086610999)]"
C0148,"[('C0114', 0.8724501210862275), ('C0182', 0.8670595861078172), ('C0018', 0.866560464051501)]"
C0149,"[('C0096', 0.8162229264769746), ('C0026', 0.8058621135374435), ('C0072', 0.7325025055891408)]"
C0150,"[('C0033', 0.9980249839944603), ('C0014', 0.925322807524533), ('C0060', 0.9249461290122833)]"
C0151,"[('C0110', 0.9960750294559665), ('C0144', 0.963817071193274), ('C0089', 0.911712216373954)]"
C0152,"[('C0172', 0.865051687816616), ('C0164', 0.8410836982121068), ('C0179', 0.8319891564858549)]"
C0153,"[('C0011', 0.8677479396951931), ('C0171', 0.8504955574945648), ('C0165', 0.8350930021818482)]"
C0154,"[('C0127', 0.8591331452789843), ('C0194', 0.8133136775832782), ('C0119', 0.7686442674493671)]"
C0155,"[('C0101', 0.9500787173103818), ('C0023', 0.932365573609547), ('C0057', 0.9304453028550888)]"
C0156,"[('C0101', 0.9224961299328688), ('C0175', 0.8935019430592382), ('C0102', 0.8852745108622685)]"
C0157,"[('C0119', 0.9199923330086777), ('C0199', 0.8548038283864824), ('C0127', 0.8477420480050645)]"
C0158,"[('C0031', 0.8001832043070143), ('C0166', 0.7474600398174065), ('C0159', 0.70297251937543)]"
C0159,"[('C0166', 0.8872764578129833), ('C0002', 0.8794054641065555), ('C0031', 0.879284833641364)]"
C0160,"[('C0038', 0.9869814183605125), ('C0037', 0.9529620048758358), ('C0136', 0.8901021564982569)]"
C0161,"[('C0147', 0.9093036214354371), ('C0118', 0.8176777535128946), ('C0024', 0.7864338138848461)]"
C0162,"[('C0181', 0.9288159957249489), ('C0008', 0.9166382888915408), ('C0051', 0.9046208926886609)]"
C0163,"[('C0170', 0.8206132039509794), ('C0039', 0.81323859356412), ('C0059', 0.79423178741314)]"
C0164,"[('C0189', 0.9421292237383669), ('C0103', 0.8411073861260061), ('C0152', 0.8410836982121068)]"
C0165,"[('C0082', 0.8548410276539554), ('C0169', 0.8366268145419445), ('C0153', 0.8350930021818482)]"
C0166,"[('C0031', 0.9558535082906412), ('C0159', 0.8872764578129833), ('C0003', 0.8201245765257528)]"
C0167,"[('C0036', 0.992654541409314), ('C0080', 0.8848634594473068), ('C0185', 0.8736435100846466)]"
C0168,"[('C0018', 0.802092086549452), ('C0125', 0.7522963447814965), ('C0070', 0.7350570908631722)]"
C0169,"[('C0082', 0.8435521206249821), ('C0200', 0.8382180873006676), ('C0165', 0.8366268145419445)]"
C0170,"[('C0182', 0.9565886203104349), ('C0138', 0.9324867044440218), ('C0163', 0.8206132039509794)]"
C0171,"[('C0193', 0.9265454698884553), ('C0064', 0.9182875760199346), ('C0011', 0.8977432603390844)]"
C0172,"[('C0047', 0.9200023105205669), ('C0116', 0.9041972361277834), ('C0152', 0.865051687816616)]"
C0173,"[('C0175', 0.9590199864821872), ('C0141', 0.9186172240801714), ('C0122', 0.8994291940554321)]"
C0174,"[('C0064', 0.9258874335078926), ('C0193', 0.8703877802325124), ('C0019', 0.8478549131723776)]"
C0175,"[('C0173', 0.9590199864821872), ('C0046', 0.8977011875973488), ('C0156', 0.8935019430592382)]"
C0176,"[('C0144', 0.8797986606793429), ('C0111', 0.8406924118314669), ('C0040', 0.8012219727796572)]"
C0177,"[('C0121', 0.917403561656758), ('C0131', 0.8749328424742492), ('C0071', 0.8688240238233611)]"
C0178,"[('C0025', 0.9382130056844554), ('C0076', 0.8901981587061174), ('C0052', 0.8349008337128592)]"
C0179,"[('C0100', 0.924963073238171), ('C0152', 0.8319891564858549), ('C0076', 0.8084531834001508)]"
C0181,"[('C0162', 0.9288159957249489), ('C0008', 0.872075858688518), ('C0051', 0.7622151473235005)]"
C0182,"[('C0170', 0.9565886203104349), ('C0138', 0.8899095658884745), ('C0148', 0.8670595861078172)]"
C0183,"[('C0107', 0.9969182601541454), ('C0016', 0.9221755953717381), ('C0105', 0.857406411794594)]"
C0184,"[('C0067', 0.8004035449046218), ('C0118', 0.7831101298458449), ('C0016', 0.7821537203624621)]"
C0185,"[('C0167', 0.8736435100846466), ('C0144', 0.8373760769657727), ('C0110', 0.8318444059273437)]"
C0186,"[('C0112', 0.9600837504147807), ('C0050', 0.9025182460894143), ('C0115', 0.8959772443509924)]"
C0187,"[('C0137', 0.7805256057230148), ('C0081', 0.7091269573456541), ('C0037', 0.7071134901556989)]"
C0188,"[('C0102', 0.988395264445863), ('C0028', 0.9574829787919382), ('C0054', 0.8981459424432697)]"
C0189,"[('C0164', 0.9421292237383669), ('C0076', 0.8915658713686072), ('C0025', 0.8500986517649085)]"
C0190,"[('C0091', 0.9491987556859475), ('C0120', 0.8524494244358556), ('C0026', 0.7808807148555071)]"
C0191,"[('C0019', 0.9513577525322078), ('C0125', 0.8719234970340474), ('C0023', 0.8346266127325085)]"
C0192,"[('C0032', 0.8604449705162203), ('C0088', 0.8562205115086753), ('C0186', 0.8326741126925666)]"
C0193,"[('C0171', 0.9265454698884553), ('C0070', 0.9159295886258386), ('C0142', 0.9156825833982679)]"
C0194,"[('C0090', 0.9564799896565672), ('C0122', 0.8362962693483088), ('C0154', 0.8133136775832782)]"
C0195,"[('C0106', 0.8501597269837712), ('C0053', 0.7654785788372134), ('C0134', 0.7328517173955748)]"
C0196,"[('C0079', 0.9578193868662012), ('C0138', 0.9080888859886973), ('C0185', 0.7933789242593419)]"
C0197,"[('C0007', 0.955659083660661), ('C0120', 0.8915722770676232), ('C0005', 0.8580510322006131)]"
C0198,"[('C0058', 0.9696237592020803), ('C0032', 0.9481487476918541), ('C0009', 0.933041605268672)]"
C0199,"[('C0005', 0.8847943056820531), ('C0157', 0.8548038283864824), ('C0007', 0.8064425137309614)]"
C0200,"[('C0169', 0.8382180873006676), ('C0143', 0.7967472788290846), ('C0053', 0.7929872452443022)]"
